{'loss': 0.7192, 'grad_norm': 7.77891206741333, 'learning_rate': 1.9815409606084103e-05, 'epoch': 0.03}
{'loss': 0.1416, 'grad_norm': 5.669971466064453, 'learning_rate': 1.2062613061616274e-05, 'epoch': 1.19}
{'loss': 0.1432, 'grad_norm': 3.5786569118499756, 'learning_rate': 1.1878022667700372e-05, 'epoch': 1.22}
{'loss': 0.1353, 'grad_norm': 18.722450256347656, 'learning_rate': 1.1693432273784472e-05, 'epoch': 1.25}
{'loss': 0.134, 'grad_norm': 0.0809650868177414, 'learning_rate': 1.1508841879868574e-05, 'epoch': 1.27}
{'loss': 0.1356, 'grad_norm': 16.81109619140625, 'learning_rate': 1.132425148595267e-05, 'epoch': 1.3}
{'loss': 0.1325, 'grad_norm': 0.42073649168014526, 'learning_rate': 1.1139661092036772e-05, 'epoch': 1.33}
{'loss': 0.1329, 'grad_norm': 13.48530101776123, 'learning_rate': 1.0955070698120871e-05, 'epoch': 1.36}
{'loss': 0.1316, 'grad_norm': 0.47049039602279663, 'learning_rate': 1.0770480304204971e-05, 'epoch': 1.38}
{'loss': 0.1404, 'grad_norm': 16.819379806518555, 'learning_rate': 1.058588991028907e-05, 'epoch': 1.41}
{'loss': 0.1249, 'grad_norm': 21.33442497253418, 'learning_rate': 1.0401299516373169e-05, 'epoch': 1.44}
{'loss': 0.1293, 'grad_norm': 11.548558235168457, 'learning_rate': 1.0216709122457269e-05, 'epoch': 1.47}
{'loss': 0.1298, 'grad_norm': 19.13180923461914, 'learning_rate': 1.0032118728541367e-05, 'epoch': 1.5}
{'loss': 0.1309, 'grad_norm': 0.10939794033765793, 'learning_rate': 9.847528334625467e-06, 'epoch': 1.52}
{'loss': 0.1298, 'grad_norm': 3.511679172515869, 'learning_rate': 9.662937940709567e-06, 'epoch': 1.55}
{'loss': 0.1249, 'grad_norm': 14.788797378540039, 'learning_rate': 9.478347546793666e-06, 'epoch': 1.58}
{'loss': 0.1287, 'grad_norm': 21.623546600341797, 'learning_rate': 9.293757152877764e-06, 'epoch': 1.61}
{'loss': 0.1246, 'grad_norm': 0.2436290979385376, 'learning_rate': 9.109166758961864e-06, 'epoch': 1.63}
{'loss': 0.1298, 'grad_norm': 0.6512348055839539, 'learning_rate': 8.924576365045964e-06, 'epoch': 1.66}
{'loss': 0.1262, 'grad_norm': 17.01374053955078, 'learning_rate': 8.739985971130062e-06, 'epoch': 1.69}
{'loss': 0.117, 'grad_norm': 1.4466304779052734, 'learning_rate': 8.555395577214164e-06, 'epoch': 1.72}
{'loss': 0.1202, 'grad_norm': 21.321273803710938, 'learning_rate': 8.370805183298262e-06, 'epoch': 1.74}
{'loss': 0.1275, 'grad_norm': 0.3268013894557953, 'learning_rate': 8.186214789382362e-06, 'epoch': 1.77}
{'loss': 0.1328, 'grad_norm': 13.84736156463623, 'learning_rate': 8.001624395466461e-06, 'epoch': 1.8}
{'loss': 0.1157, 'grad_norm': 15.149718284606934, 'learning_rate': 7.81703400155056e-06, 'epoch': 1.83}
{'loss': 0.1143, 'grad_norm': 0.24482682347297668, 'learning_rate': 7.63244360763466e-06, 'epoch': 1.86}
{'loss': 0.1309, 'grad_norm': 3.5228323936462402, 'learning_rate': 7.447853213718759e-06, 'epoch': 1.88}
{'loss': 0.1218, 'grad_norm': 14.979154586791992, 'learning_rate': 7.263262819802858e-06, 'epoch': 1.91}
{'loss': 0.1254, 'grad_norm': 25.781444549560547, 'learning_rate': 7.078672425886958e-06, 'epoch': 1.94}
{'loss': 0.1298, 'grad_norm': 13.352954864501953, 'learning_rate': 6.894082031971057e-06, 'epoch': 1.97}
{'loss': 0.1204, 'grad_norm': 0.10252992808818817, 'learning_rate': 6.7094916380551565e-06, 'epoch': 1.99}
{'loss': 0.0901, 'grad_norm': 4.942918300628662, 'learning_rate': 6.5249012441392554e-06, 'epoch': 2.02}
{'loss': 0.0746, 'grad_norm': 0.16460160911083221, 'learning_rate': 6.340310850223354e-06, 'epoch': 2.05}
{'loss': 0.0912, 'grad_norm': 7.138057708740234, 'learning_rate': 6.155720456307455e-06, 'epoch': 2.08}
{'loss': 0.0888, 'grad_norm': 0.04761221259832382, 'learning_rate': 5.971130062391554e-06, 'epoch': 2.1}
{'loss': 0.0943, 'grad_norm': 0.031763628125190735, 'learning_rate': 5.786539668475653e-06, 'epoch': 2.13}
{'loss': 0.0795, 'grad_norm': 15.637707710266113, 'learning_rate': 5.601949274559753e-06, 'epoch': 2.16}
{'loss': 0.0842, 'grad_norm': 13.348428726196289, 'learning_rate': 5.417358880643852e-06, 'epoch': 2.19}
{'loss': 0.0781, 'grad_norm': 0.6248178482055664, 'learning_rate': 5.2327684867279515e-06, 'epoch': 2.22}
{'loss': 0.0753, 'grad_norm': 0.045201003551483154, 'learning_rate': 5.0481780928120504e-06, 'epoch': 2.24}
{'loss': 0.0721, 'grad_norm': 7.342694282531738, 'learning_rate': 4.86358769889615e-06, 'epoch': 2.27}
{'loss': 0.081, 'grad_norm': 0.1297151744365692, 'learning_rate': 4.678997304980249e-06, 'epoch': 2.3}
{'loss': 0.0741, 'grad_norm': 0.2369695007801056, 'learning_rate': 4.494406911064348e-06, 'epoch': 2.33}
{'loss': 0.0839, 'grad_norm': 8.692922592163086, 'learning_rate': 4.309816517148448e-06, 'epoch': 2.35}
{'loss': 0.0806, 'grad_norm': 0.5147525072097778, 'learning_rate': 4.125226123232548e-06, 'epoch': 2.38}
{'loss': 0.0802, 'grad_norm': 13.172778129577637, 'learning_rate': 3.940635729316647e-06, 'epoch': 2.41}
{'loss': 0.0711, 'grad_norm': 0.05461691692471504, 'learning_rate': 3.756045335400746e-06, 'epoch': 2.44}
{'loss': 0.0843, 'grad_norm': 0.0438748262822628, 'learning_rate': 3.5714549414848454e-06, 'epoch': 2.46}
{'loss': 0.078, 'grad_norm': 29.43796157836914, 'learning_rate': 3.386864547568945e-06, 'epoch': 2.49}
{'loss': 0.088, 'grad_norm': 29.36127471923828, 'learning_rate': 3.2022741536530446e-06, 'epoch': 2.52}
{'loss': 0.0771, 'grad_norm': 0.29843977093696594, 'learning_rate': 3.0176837597371435e-06, 'epoch': 2.55}
{'loss': 0.0682, 'grad_norm': 0.006869092583656311, 'learning_rate': 2.833093365821243e-06, 'epoch': 2.58}
{'loss': 0.0815, 'grad_norm': 0.2156459093093872, 'learning_rate': 2.6485029719053423e-06, 'epoch': 2.6}
{'loss': 0.0842, 'grad_norm': 8.391727447509766, 'learning_rate': 2.4639125779894417e-06, 'epoch': 2.63}
{'loss': 0.0852, 'grad_norm': 0.16271145641803741, 'learning_rate': 2.279322184073541e-06, 'epoch': 2.66}
{'loss': 0.064, 'grad_norm': 60.966644287109375, 'learning_rate': 2.0947317901576404e-06, 'epoch': 2.69}
{'loss': 0.0676, 'grad_norm': 8.95787239074707, 'learning_rate': 1.9101413962417398e-06, 'epoch': 2.71}
{'loss': 0.0788, 'grad_norm': 16.572057723999023, 'learning_rate': 1.725551002325839e-06, 'epoch': 2.74}
{'loss': 0.0754, 'grad_norm': 28.17079734802246, 'learning_rate': 1.5409606084099385e-06, 'epoch': 2.77}
{'loss': 0.0723, 'grad_norm': 0.04132387787103653, 'learning_rate': 1.3563702144940377e-06, 'epoch': 2.8}
{'loss': 0.0673, 'grad_norm': 0.20209738612174988, 'learning_rate': 1.1717798205781373e-06, 'epoch': 2.82}
{'loss': 0.0732, 'grad_norm': 0.9897630214691162, 'learning_rate': 9.871894266622366e-07, 'epoch': 2.85}
{'loss': 0.0812, 'grad_norm': 0.21759146451950073, 'learning_rate': 8.025990327463359e-07, 'epoch': 2.88}
{'loss': 0.0697, 'grad_norm': 55.313655853271484, 'learning_rate': 6.180086388304353e-07, 'epoch': 2.91}
{'loss': 0.08, 'grad_norm': 67.377197265625, 'learning_rate': 4.3341824491453465e-07, 'epoch': 2.93}
{'loss': 0.0824, 'grad_norm': 0.03925210237503052, 'learning_rate': 2.488278509986341e-07, 'epoch': 2.96}
{'loss': 0.0752, 'grad_norm': 37.183349609375, 'learning_rate': 6.423745708273343e-08, 'epoch': 2.99}

